site,GPS,county,date,team,permit,time,species,sample_ID,sex,age,reproductive_status,mass_g,forearm_mm,ear_mm,tragus_mm,Notes
Cienega_creek,"32.019644, -110.645705",Pima,10 June 2024,"MEL, Gena S, Mary RW, Addison L",MEL AZGF,20:10,ANPA,NA,F,A,L,NA,NA,NA,NA,1 mite
Cienega_creek,"32.019644, -110.645706",Pima,10 June 2024,"MEL, Gena S, Mary RW, Addison L",MEL AZGF,20:25,MYVE,LE351,M,A,S,NA,42,15,6,3 mites
Cienega_creek,"32.019644, -110.645707",Pima,10 June 2024,"MEL, Gena S, Mary RW, Addison L",MEL AZGF,20:45,MYVE,NA,F,A,L,NA,NA,NA,NA,NA
Cienega_creek,"32.019644, -110.645708",Pima,10 June 2024,"MEL, Gena S, Mary RW, Addison L",MEL AZGF,20:30,PAHE,NA,M,U,NR,NA,NA,NA,NA,NA
Cienega_creek,"32.019644, -110.645709",Pima,10 June 2024,"MEL, Gena S, Mary RW, Addison L",MEL AZGF,20:30,EPFU,NA,F,NA,NA,NA,NA,NA,NA,NA
Cienega_creek,"32.019644, -110.645710",Pima,10 June 2024,"MEL, Gena S, Mary RW, Addison L",MEL AZGF,20:30,ANPA,NA,M,A,P/L,NA,NA,NA,NA,NA
Cienega_creek,"32.019644, -110.645711",Pima,10 June 2024,"MEL, Gena S, Mary RW, Addison L",MEL AZGF,20:30,TABR,NA,M,U,NR,NA,NA,NA,NA,NA
Cienega_creek,"32.019644, -110.645712",Pima,10 June 2024,"MEL, Gena S, Mary RW, Addison L",MEL AZGF,20:45,MYVE,LE350,F,A,NR,NA,43,14,10,NA
Cienega_creek,"32.019644, -110.645713",Pima,10 June 2024,"MEL, Gena S, Mary RW, Addison L",MEL AZGF,21:10,ANPA,NA,F,A,L,NA,NA,NA,NA,NA
Cienega_creek,"32.019644, -110.645714",Pima,10 June 2024,"MEL, Gena S, Mary RW, Addison L",MEL AZGF,21:10,EPFU,NA,F,A,P/L,NA,NA,NA,NA,NA
Cienega_creek,"32.019644, -110.645715",Pima,10 June 2024,"MEL, Gena S, Mary RW, Addison L",MEL AZGF,21:10,EPFU,NA,F,A,P/L,NA,NA,NA,NA,NA
Cienega_creek,"32.019644, -110.645716",Pima,10 June 2024,"MEL, Gena S, Mary RW, Addison L",MEL AZGF,21:10,EPFU,NA,NA,A,P/L,NA,NA,NA,NA,NA
Cienega_creek,"32.019644, -110.645717",Pima,10 June 2024,"MEL, Gena S, Mary RW, Addison L",MEL AZGF,21:10,TABR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cienega_creek,"32.019644, -110.645718",Pima,10 June 2024,"MEL, Gena S, Mary RW, Addison L",MEL AZGF,21:10,TABR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cienega_creek,"32.019644, -110.645719",Pima,10 June 2024,"MEL, Gena S, Mary RW, Addison L",MEL AZGF,21:10,MYVE,LE352,M,A,NR,NA,42,12,7,NA
Cienega_creek,"32.019644, -110.645720",Pima,10 June 2024,"MEL, Gena S, Mary RW, Addison L",MEL AZGF,21:20,EPFU,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cienega_creek,"32.019644, -110.645721",Pima,10 June 2024,"MEL, Gena S, Mary RW, Addison L",MEL AZGF,21:20,EPFU,NA,NA,NA,NA,NA,NA,NA,NA,1 mite
Cienega_creek,"32.019644, -110.645722",Pima,10 June 2024,"MEL, Gena S, Mary RW, Addison L",MEL AZGF,21:20,MYVE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cienega_creek,"32.019644, -110.645723",Pima,10 June 2024,"MEL, Gena S, Mary RW, Addison L",MEL AZGF,21:28,MYVE,NA,F,A,P,NA,NA,NA,NA,NA
Cienega_creek,"32.019644, -110.645724",Pima,10 June 2024,"MEL, Gena S, Mary RW, Addison L",MEL AZGF,21:39,EPFU,NA,F,A,P,NA,NA,NA,NA,NA
Cienega_creek,"32.019644, -110.645725",Pima,10 June 2024,"MEL, Gena S, Mary RW, Addison L",MEL AZGF,21:39,EPFU,NA,F,A,P,NA,NA,NA,NA,NA
Cienega_creek,"32.019644, -110.645726",Pima,10 June 2024,"MEL, Gena S, Mary RW, Addison L",MEL AZGF,21:39,ANPA,NA,F,A,P,NA,NA,NA,NA,NA
Cienega_creek,"32.019644, -110.645727",Pima,10 June 2024,"MEL, Gena S, Mary RW, Addison L",MEL AZGF,21:39,ANPA,NA,F,A,P,NA,NA,NA,NA,NA
Cienega_creek,"32.019644, -110.645728",Pima,10 June 2024,"MEL, Gena S, Mary RW, Addison L",MEL AZGF,21:39,EPFU,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cienega_creek,"32.019644, -110.645729",Pima,10 June 2024,"MEL, Gena S, Mary RW, Addison L",MEL AZGF,22:00,EPFU,NA,F,A,P,NA,NA,NA,NA,1 mite
Cienega_creek,"32.019644, -110.645730",Pima,10 June 2024,"MEL, Gena S, Mary RW, Addison L",MEL AZGF,22:00,ANPA,NA,F,A,P,NA,NA,NA,NA,NA
Cienega_creek,"32.019644, -110.645731",Pima,10 June 2024,"MEL, Gena S, Mary RW, Addison L",MEL AZGF,22:00,MYVE,NA,F,A,P,NA,42,15,7,NA
Cienega_creek,"32.019644, -110.645732",Pima,10 June 2024,"MEL, Gena S, Mary RW, Addison L",MEL AZGF,22:20,EPFU,NA,NA,NA,NA,NA,NA,NA,NA,1 tick
Cienega_creek,"32.019644, -110.645733",Pima,10 June 2024,"MEL, Gena S, Mary RW, Addison L",MEL AZGF,22:20,MYVE,NA,M,A,NR,NA,38,14,7,NA
Cienega_creek,"32.019644, -110.645734",Pima,13 June 2024,"MEL, Gena S, Mary RW, Addison L, Bree D",MEL AZGF,20:40,EPFU,NA,NA,NA,NA,13,44,14,9,NA
Cienega_creek,"32.019644, -110.645735",Pima,13 June 2024,"MEL, Gena S, Mary RW, Addison L, Bree D",MEL AZGF,20:31,EPFU,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cienega_creek,"32.019644, -110.645736",Pima,13 June 2024,"MEL, Gena S, Mary RW, Addison L, Bree D",MEL AZGF,20:40,ANPA,NA,F,A,P,NA,NA,NA,NA,NA
